epoch,loss,accuracy,val_loss,val_accuracy
0,5.404398815972464,0.06919642857142858,620.0778477109711,0.08620689655172414
1,3.4482589278902327,0.10267857142857142,22.470970474440477,0.15732758620689655
2,3.005928712231772,0.14732142857142858,2.682139857061978,0.14655172413793102
3,2.904438172067915,0.12276785714285714,5.974446395347858,0.20905172413793102
4,2.8956204312188283,0.12723214285714285,8.48293807999841,0.17456896551724138
5,2.7588746547698975,0.171875,2.3883867017154037,0.25
6,2.6377046023096358,0.19940476225955145,2.512848919835584,0.25862068965517243
7,2.582077980041504,0.21726190511669433,2.2778020316156846,0.28879310344827586
8,2.4511647522449493,0.22098214285714285,2.1283409389956245,0.39655172413793105
9,2.2420308675084795,0.265625,1.967758663769426,0.375
10,2.012009335415704,0.34151785714285715,1.7437448583800217,0.5086206896551724
11,2.127570241689682,0.36681547654526575,2.058615335102739,0.4396551724137931
12,1.7936457651002067,0.4568452388048172,1.466732275897059,0.5668103448275862
13,1.5115856656006403,0.5751488102333886,1.1495692380543412,0.7672413793103449
14,1.1642016747168131,0.6688988102333886,1.1465408545115898,0.7047413793103449
15,1.0744688936642237,0.7120535714285714,0.6590000606816391,0.8663793103448276
16,0.8497516342571804,0.7775297622595515,1.0146852423404824,0.8426724137931034
17,0.6842516735196114,0.8236607142857143,1.2121367202750568,0.896551724137931
18,0.47371419944933485,0.8898809530905315,0.5325740123617237,0.9137931034482759
19,0.4174497500061989,0.9122023816619601,0.5739018341590618,0.9224137931034483
20,0.3627841334257807,0.9144345245191029,0.3939796336765947,0.915948275862069
21,0.5031344310513565,0.8690476194024086,1.0697806826953231,0.8814655172413793
22,0.4156943740589278,0.8876488102333886,0.5234329001656894,0.9181034482758621
23,0.28039289372307913,0.9278273816619601,0.588682842151872,0.9267241379310345
24,0.19424043968319893,0.9456845245191029,0.29795420991963356,0.9439655172413793
25,0.18737767317465373,0.9523809530905315,0.1594908119275652,0.9568965517241379
